Rank, Player, PlayerID, Ghost Rating, Games Played, Peak Ghost Rating, ChangeRank, ChangeGames, ChangeGhostRating, Last Game Date
1, "VillageIdiot"-"0", 44663, 459.456459451443, 45, 479.957144118102, 0, 0, 0, 2017-02-07
2, "peterwiggin"-"0", 2547, 339.46133718763, 55, 451.415040008664, 0, 2, -2.95722736768681, 2017-03-24
3, "Floodgates"-"0", 12017, 308.965630520902, 24, 327.506608417557, 0, 0, 0, 2017-01-13
4, "Hapapop"-"0", 63771, 296.744197534546, 28, 303.831256198853, 5, 1, 26.2950580226703, 2017-03-28
5, "Yonni"-"0", 33239, 283.16904032682, 37, 287.925174606848, 0, 0, 0, 2017-02-02
6, "ghug"-"0", 37168, 282.001491278736, 58, 282.001491278736, 0, 0, 0, 2016-11-07
7, "billstrong"-"0", 75562, 278.167421008342, 18, 298.424815825123, -3, 1, -16.8586315762632, 2017-03-28
8, "The Hanged Man"-"0", 16970, 277.195161632775, 36, 303.021364434428, -1, 0, 0, 2016-11-07
9, "Kremmen"-"0", 70799, 273.365664295737, 32, 273.365664295737, -1, 1, 0.640996959355675, 2017-03-23
10, "ssorenn"-"0", 56503, 261.896214919777, 72, 331.743876313999, Re-Entry, Re-Entry, Re-Entry, 2017-03-13
11, "ckroberts"-"0", 40293, 260.650380270393, 66, 263.172550811328, 0, 1, -2.52217054093518, 2017-03-21
12, "MKECharlie"-"0", 23113, 257.040023298266, 25, 273.039582292319, 0, 0, 0, 2017-02-03
13, "Durga"-"0", 69557, 252.124700816308, 23, 252.124700816308, 27, 3, 48.4685017459645, 2017-03-22
14, "A_Tin_Can"-"0", 54909, 251.091078263279, 17, 255.420117067561, -1, 0, 0, 2017-01-21
15, "dgibson987"-"0", 63310, 245.170398336239, 33, 261.898380428252, 0, 0, 0, 2017-01-03
16, "Gen. Lee"-"0", 46077, 243.834956247841, 21, 243.834956247841, 0, 0, 0, 2017-02-03
17, "Farka"-"0", 67825, 240.156616299365, 23, 243.582409985541, 3, 4, 1.41032769788646, 2017-03-29
18, "MrcsAurelius"-"0", 37025, 239.111604889498, 35, 265.761993261209, 10, 1, 12.4910921880546, 2017-03-13
19, "millerso"-"0", 20243, 237.587182483489, 7, 267.258309037901, 2, 0, 0, 2016-10-04
20, "00matthew2000"-"0", 65104, 237.262058424784, 38, 240.700638981665, -2, 2, -2.94710206668557, 2017-03-27
21, "Elinarius"-"0", 70940, 237.231055396195, 26, 243.799252819632, 1, 0, 0, 2016-10-22
22, "twiddlestix"-"0", 72881, 236.916682449554, 17, 240.041150670498, -3, 1, -3.1244682209439, 2017-03-06
23, "MarkDalton"-"0", 82209, 232.509179765013, 20, 235.431126749678, 103, 8, 75.8293633942485, 2017-03-27
24, "Litsch"-"0", 76996, 231.241763179124, 24, 239.974552602733, 0, 0, 0, 2017-02-21
25, "Kugs"-"0", 81684, 230.094332590362, 27, 280.96334342916, -15, 4, -34.8139626428463, 2017-03-31
26, "nickste89"-"0", 64171, 229.504318566311, 45, 251.081900238471, -3, 3, -7.2300445156761, 2017-03-31
27, "mislav76"-"0", 69087, 228.630786457824, 11, 235.223659814511, -2, 0, 0, 2016-12-28
28, "0k0k0"-"0", 67592, 224.884203307645, 48, 268.291889184712, -2, 1, -3.25919135228472, 2017-03-23
29, "pasquaaa"-"0", 75273, 222.333494489809, 30, 222.333494489809, 148, 5, 79.5691201113878, 2017-03-28
30, "Yoyoyozo"-"0", 65915, 220.986717325866, 52, 263.650430067799, -16, 2, -27.5979738809162, 2017-03-21
31, "StackelbergFollower"-"0", 45751, 217.912869320082, 51, 217.912869320082, -2, 1, 0.0679816378714975, 2017-03-21
32, "Pompeii"-"0", 74972, 215.729067481667, 7, 215.729067481667, 44, 1, 40.6761623344218, 2017-03-18
33, "Szpoti"-"0", 41746, 215.504394572473, 11, 215.504394572473, 31, 1, 33.2056406501274, 2017-03-22
34, "Tom Bombadil"-"0", 25560, 213.860843698931, 37, 255.334323480327, -7, 1, -12.9612632544807, 2017-03-07
35, "teflon"-"0", 13430, 212.769915280631, 16, 241.554925632734, -4, 3, -1.23050750559753, 2017-03-20
36, "IRidePigs"-"0", 66947, 212.406966630788, 15, 222.696840132778, -4, 0, 0, 2017-01-23
37, "Ogion"-"0", 58511, 211.030136767625, 42, 324.717057852731, -4, 0, 0, 2016-10-13
38, "eturnage"-"0", 63567, 210.798138399576, 11, 223.573783151065, -4, 0, 0, 2017-01-15
39, "snowy801"-"0", 82888, 210.043150293613, 19, 215.120763154683, 72, 5, 50.0731912692229, 2017-03-29
40, "jmbostwick"-"0", 44387, 205.073562284743, 39, 213.044402407993, 2, 2, 2.29759330784717, 2017-03-29
41, "nide1225"-"0", 71946, 204.67161736185, 13, 209.389658011093, -3, 0, 0, 2016-12-24
42, "MaelwysII"-"0", 2170, 204.425967088302, 27, 222.189627519838, -3, 0, 0, 2017-02-14
43, "Ehiatt"-"0", 79503, 203.181884826927, 9, 203.181884826927, -2, 0, 0, 2017-02-01
44, "Subotai45"-"0", 67613, 200.205798083411, 5, 203.107331388967, 1, 0, 0, 2016-10-13
