Rank, Player, PlayerID, Peak Ghost Rating
1, "Silver Wolf"-"0", 7150, 398.996849843562
2, "MadMarx"-"0", 5210, 383.034057165636
3, "djbent"-"0", 11891, 343.882995145273
4, "Crazyter"-"0", 15679, 329.575407713702
5, "sswang"-"0", 7490, 313.037981041303
6, "Babak"-"0", 11051, 310.761049886097
7, "Perry6006"-"0", 17783, 293.982592180678
8, "Ebay"-"0", 25953, 262.393910964156
9, "BoG75"-"0", 3514, 258.386491427076
10, "Braveheart"-"0", 4010, 248.929265487895
11, "Thucydides"-"0", 4102, 241.336834792035
12, "TheWizard"-"0", 10873, 239.899499652983
13, "rdrivera2005"-"0", 16691, 238.3656447856
14, "Akroma"-"0", 8566, 238.205359927899
15, "stratagos"-"0", 8290, 235.806125835517
16, "Laoban"-"0", 10545, 234.051717443724
17, "MarekP"-"0", 2560, 232.553856069141
18, "BESM"-"0", 6789, 232.157277676114
19, "Puma"-"0", 18119, 231.50890084756
20, "cgwhite32"-"0", 3927, 228.268750937752
21, "Centurian"-"0", 6265, 227.85908404253
22, "LanGaidin"-"0", 12510, 224.535361301427
23, "TheMasterGamer"-"0", 6454, 224.17544865519
24, "martinck1"-"0", 19489, 221.671459861626
25, "Tom Bombadil"-"0", 25560, 218.341688705194
26, "Ivo_ivanov"-"0", 5945, 217.298722143296
27, "xgongiveit2ya55"-"0", 5385, 213.668018931223
28, "grncton"-"0", 14641, 213.327834178586
29, "Napoleon of Oz"-"0", 19296, 212.281506776993
30, "Serioussham"-"0", 16966, 210.915755387741
31, "moses"-"0", 21790, 210.216790708233
32, "myth1202"-"0", 17769, 210.147426010866
33, "Troodonte"-"0", 12416, 209.503028271812
34, "Pantalone"-"0", 10190, 208.696739859165
35, "Spartan 00256"-"0", 6559, 207.877511782944
36, "Jacob"-"0", 9013, 206.313748633378
37, "DingleberryJones"-"0", 8019, 205.797749411673
38, "mapleleaf"-"1", 3959, 204.836267971888
39, "Labond"-"0", 3644, 203.620676876991
40, "Bogatir"-"0", 24275, 201.877551020408
41, "Agent K"-"1", 22472, 201.318256360469
42, "Julien"-"0", 6532, 200.760462484922
43, "user#12321"-"0", 20609, 198.648118344326
44, "dave bishop"-"0", 18322, 194.791277160726
45, "Dejan0707"-"0", 24139, 194.361044886928
46, "lulzworth"-"0", 10137, 190.094479069208
47, "orathaic"-"0", 5147, 189.726099032281
48, "Polar Bear"-"0", 4761, 187.386947695634
49, "ag7433"-"0", 10347, 187.115185306606
50, "BigZombieDude"-"0", 15832, 185.807042398066
51, "basvanopheusden"-"0", 26517, 185.201202314573
52, "bartdogg42"-"0", 11454, 185.186882156622
53, "SpookyJuice"-"0", 18858, 184.109467160039
54, "texasdeluxe"-"0", 7039, 183.578598181074
55, "The Czech"-"0", 17724, 181.87743145754
56, "mdruskin"-"0", 5221, 181.383312457171
57, "Tru Ninja"-"0", 10675, 180.843385866111
58, "Plastic Hussar"-"0", 16234, 179.98454202946
59, "Gary"-"0", 7014, 179.183216115239
60, "jthiher"-"0", 21609, 178.42498935025
61, "anlari"-"0", 964, 176.549178782116
62, "KnightGeneral"-"0", 18470, 176.459375456966
63, "Darwyn"-"0", 3410, 175.71272704155
64, "Sven"-"0", 16385, 175.556977709824
65, "The Conquerer"-"1", 15995, 175.121771686054
66, "Jamiet99uk"-"0", 13875, 174.492621304369
67, "TheGhostmaker"-"0", 2188, 174.083682344704
68, "canaduh"-"0", 4145, 174.059159758264
69, "bockman"-"0", 16987, 173.409788168047
70, "TheDemolishedMan"-"0", 27698, 171.958370548904
71, "Bjmacson"-"0", 20338, 171.537983347548
72, "Danaman"-"0", 15460, 170.900326094918
73, "AgentF"-"0", 20711, 170.298493037889
74, "Frank"-"0", 21802, 170.197155641029
75, "KaaRoy"-"1", 1078, 169.43889820058
76, "mdrltc"-"0", 21196, 169.068549657042
77, "gjdip"-"0", 14913, 168.244380909491
78, "Alderian"-"0", 13677, 168.167151715797
79, "alamothe"-"0", 2735, 167.904841198991
80, "Hobbs"-"0", 29957, 167.645574166294
81, "Stagger"-"0", 4692, 167.265306122449
82, "y77"-"0", 23098, 166.546620795779
83, "millerso"-"0", 20243, 165.688629737609
84, "abgemacht"-"0", 4946, 165.49104900347
85, "TrustMe"-"0", 23878, 165.313223489314
86, "peterwiggin"-"0", 2547, 164.76170383329
87, "C-K"-"0", 17719, 164.711139974243
88, "BornAgainGamer"-"0", 11806, 164.590486512245
89, "Acosmist"-"1", 17141, 164.188331905842
90, "NevilleChamberlain"-"0", 6800, 163.647302924934
91, "Sargmacher"-"1", 32304, 162.93393333769
92, "LJ TYLER DURDEN"-"0", 17791, 162.202114585703
93, "Hereward77"-"0", 11338, 161.415494236107
94, "Bazin"-"0", 4633, 161.168513119534
95, "fetteper"-"0", 19520, 159.884178014716
96, "MrBrent"-"0", 22699, 158.867810014082
97, "rhino86"-"0", 16965, 158.772727964849
98, "akilies"-"0", 13376, 158.673286053498
99, "kolotoure"-"0", 18381, 158.620239340526
100, "Bugger"-"0", 5349, 157.513127317534
101, "IKE"-"0", 12466, 157.005756549558
102, "Malleus"-"0", 12565, 156.835181497672
103, "LordOfWar"-"0", 7988, 156.763548521449
104, "`ZaZaMaRaNDaBo`"-"0", 16392, 156.739483080637
105, "flashman"-"0", 3474, 154.127687038465
106, "mcbry"-"0", 29275, 153.175919758499
107, "dangermouse"-"0", 222, 152.922951892678
108, "allanxo"-"0", 13627, 151.853083388006
109, "hellalt"-"0", 13865, 150.772563244296
110, "josemurc"-"0", 17667, 150.580796554042
111, "JECE"-"0", 17421, 150.364031912437
112, "BlackKnight"-"0", 7071, 149.729952089528
113, "DrCJG"-"0", 23090, 149.202642739898
114, "fwancophile"-"0", 2903, 148.711597274365
115, "Per Olander"-"0", 28893, 148.041378482168
116, "Oskar"-"0", 24355, 147.824867988826
117, "Stevelers"-"0", 4966, 147.400704167642
118, "V+"-"0", 10008, 147.243533306673
119, "Withnail160"-"0", 3526, 146.415496341704
120, "fortknox"-"0", 5615, 146.225779270085
121, "goldfinger0303"-"0", 28372, 146.194585087844
122, "The Hanged Man"-"0", 16970, 145.84822007669
123, "Cheleon"-"0", 5026, 145.845557511677
124, "zerquetschnikov"-"0", 22189, 145.21621864479
125, "RonnieC4"-"0", 29349, 144.731927659414
126, "TiresiasBC"-"0", 18523, 144.513245155952
127, "gryncat"-"0", 4087, 144.38931805885
128, "howieB"-"0", 19880, 144.045299184379
129, "SohDjinn"-"0", 17679, 143.123391719808
130, "gantz"-"0", 21124, 142.96559976656
131, "snafuthai"-"0", 23978, 142.652665955184
132, "Louis XIV"-"0", 20357, 142.576047742862
133, "Morandini"-"0", 15443, 142.389677370961
134, "FloatingLakes"-"0", 13890, 142.176229388645
135, "jimgov"-"0", 21601, 142.000882545715
136, "SacKWacK"-"0", 19616, 141.967600609441
137, "sceptic_ka"-"0", 6732, 141.936728030919
138, "DK7"-"1", 24219, 141.923480512033
139, "Galaxion"-"0", 8067, 141.510245510057
140, "Dee Eff"-"0", 12389, 141.447874005225
141, "wooooo"-"0", 10598, 141.425906063899
142, "Countess Tillian"-"0", 10152, 141.307201044891
143, "Bob"-"0", 18533, 141.179771491103
144, "Foxtrot1212"-"0", 23459, 140.802522245232
145, "L1star"-"0", 18481, 140.633768399848
146, "theroofisgreen"-"0", 21475, 140.564076521402
147, "hammac"-"0", 14962, 140.490401461013
148, "SunZi"-"0", 19506, 140.428909690215
149, "yosunmi"-"0", 25609, 140.278969820351
150, "dogfish8"-"0", 26564, 139.843108562969
151, "L"-"0", 9832, 139.828095144001
152, "PettyOfficer117"-"1", 24780, 139.776528483836
153, "destp"-"0", 6259, 139.612326923602
154, "arthurmklo"-"0", 3301, 139.206672519761
155, "Oxim"-"0", 6781, 139.188241773364
156, "The Lord Duke"-"0", 24015, 139.177213948363
157, "uclabb"-"0", 5775, 139.112200848282
158, "GCar"-"0", 30876, 139.016192095278
159, "P8er Jackson"-"1", 20074, 139.007428895521
160, "Farcus189"-"0", 4479, 138.968952460284
161, "melbourne"-"0", 2449, 138.95568382654
162, "Lil J"-"1", 29598, 138.937555379159
163, "Bezborodov"-"0", 20356, 138.888950754189
164, "drano019"-"0", 18232, 138.800083974899
165, "SteveH8ER"-"0", 6894, 138.797844733826
166, "Rossbury21"-"0", 25217, 138.706530075948
167, "President Eden"-"0", 25958, 138.682626576971
168, "Corn - FTW"-"0", 23439, 138.671537624674
169, "jcbryan97"-"0", 20896, 138.579198493551
170, "MKECharlie"-"0", 23113, 138.576179630879
171, "KingRishard"-"0", 27787, 138.50860204643
172, "marshal969"-"0", 19399, 138.440334200624
173, "littlewilliams"-"0", 19957, 138.281532231059
174, "pastoralan"-"0", 22820, 138.070797159531
175, "Uhtred"-"0", 3922, 137.902319013336
176, "xcad"-"0", 18094, 137.773760932945
177, "bigjake"-"0", 26654, 137.487996255941
178, "Jredwood"-"0", 22540, 137.285899867475
179, "joey1"-"0", 23837, 137.195721606771
180, "DaveH"-"0", 12799, 137.107118246885
181, "g50"-"0", 16045, 137.057042411534
182, "Dunecat"-"0", 11650, 137.033601491172
183, "askninjasks"-"0", 24693, 137.00840018447
184, "FreeThing"-"0", 21666, 136.828662932582
185, "redells"-"0", 16628, 136.680833824083
186, "jaywinner"-"0", 25580, 136.670734969772
187, "spyman"-"0", 8237, 136.667526372415
188, "Crenshi"-"0", 26548, 136.570418291614
189, "Obtree"-"0", 26304, 136.478480097908
190, "colaup"-"0", 20004, 136.440816326531
191, "Chairman Mao"-"0", 3340, 136.359646315565
192, "rratclif"-"1", 9215, 136.315151502662
193, "maudineormsby"-"0", 20783, 136.299319727891
194, "NoSho"-"0", 21986, 136.252361516035
195, "Ethanol"-"0", 14084, 136.237940426242
196, "magicT_murph"-"0", 2656, 136.232767384255
197, "sean"-"0", 4029, 136.186331338674
198, "Talus Proteus"-"0", 7632, 136.071543172493
199, "ISUGator"-"0", 26002, 136.069204034526
200, "Blackheath Wanderer"-"1", 5389, 135.993002915452
201, "Nazim"-"0", 15611, 135.849888886433
202, "Soul"-"0", 4938, 135.591836734694
203, "Nodosaria"-"0", 7989, 135.573177842566
204, "Sayjo the Lion-Hearted"-"0", 15951, 135.44520135147
205, "Pipe"-"0", 13505, 135.428110668174
206, "dmwits"-"0", 8439, 135.409281060465
207, "pi3th0n"-"0", 29545, 135.240822362162
208, "ThomasB"-"0", 12525, 135.211167101996
209, "mikeconroy"-"1", 20153, 135.156951270304
210, "Feanor"-"0", 6718, 135.124828144881
211, "dontbcruel"-"0", 24404, 135.092234496579
212, "Anchorman"-"1", 27312, 135.030597989262
213, "Maniac "-"0", 7249, 135.021224264355
214, "onewaytrip"-"0", 29866, 134.957007445025
215, "TsarNicky"-"0", 28057, 134.900004885098
216, "Li0n"-"0", 21091, 134.819586857508
217, "TrueHeart"-"0", 7885, 134.763881148307
218, "Duke of Marlborough"-"0", 21670, 134.758522996371
219, "mlholowach"-"0", 16642, 134.710577697754
220, "freakflag"-"0", 2330, 134.662390596002
